Year,Population
2022, 7972169000.0
2023, 8036182000.0
2024, 8102840000.0
2025, 8168564000.0
2026, 8232486000.0
2027, 8295051000.0
2028, 8357612000.0
2029, 8418861000.0
2030, 8478087000.0
2031, 8536066000.0
2032, 8592387000.0
2033, 8649362000.0
2034, 8705006000.0
2035, 8756783000.0
2036, 8807620000.0
2037, 8857586000.0
2038, 8907748000.0
2039, 8956668000.0
2040, 9003919000.0
2041, 9050312000.0
2042, 9092579000.0
2043, 9133425000.0
2044, 9174025000.0
2045, 9212882000.0
2046, 9250914000.0
2047, 9287513000.0
2048, 9321321000.0
2049, 9353676000.0
2050, 9383742000.0
